season,Team,Elo
2021,Georgia,1752.7033221621177
2021,Alabama,1722.4735100147323
2021,Cincinnati,1702.983195352112
2021,Pittsburgh,1694.089722324952
2021,Michigan,1690.7442677872284
2021,Louisiana,1690.2374905117179
2021,Utah,1686.6727000946087
2021,Houston,1684.7300475336715
2021,Ohio State,1683.679854691998
2021,Clemson,1683.5674474254463
2021,Baylor,1678.3558886633366
2021,Coastal Carolina,1667.6322085009115
2021,Oklahoma State,1666.2897928177213
2021,Notre Dame,1663.138688758402
2021,NC State,1650.9436037679648
2021,San Diego State,1643.6186880935863
2021,Oklahoma,1637.8388701986366
2021,Wisconsin,1632.6578637956586
2021,Minnesota,1631.4411010046617
2021,Air Force,1628.4312289290024
2021,Michigan State,1627.9398952144993
2021,Utah State,1625.903352326197
2021,Georgia State,1624.9753384636972
2021,Western Kentucky,1618.0257897836577
2021,Wake Forest,1617.9103252620614
2021,UTSA,1617.737042457312
2021,Central Michigan,1611.4622130339603
2021,Boise State,1610.0026702287307
2021,Ole Miss,1605.3287317239904
2021,Kentucky,1599.2515845999185
2021,UAB,1596.7229993994665
2021,Fresno State,1594.802997872921
2021,UCLA,1594.4633373752267
2021,Purdue,1590.8230381892965
2021,BYU,1585.5656981551886
2021,Iowa,1579.416163602122
2021,Miami (OH),1564.7254494642787
2021,UCF,1562.882092834948
2021,Western Michigan,1562.4913662400459
2021,SMU,1560.5902852456322
2021,Arkansas,1559.4750156296984
2021,Washington State,1557.0751693698676
2021,Iowa State,1553.9913549572254
2021,Oregon,1553.1479644536796
2021,Texas A&M,1552.7711348549988
2021,Toledo,1547.295313974811
2021,Liberty,1545.0086213009406
2021,Army,1542.167591790075
2021,Nevada,1539.9962174154803
2021,Tulsa,1535.3003989633555
2021,Penn State,1534.7188617843506
2021,Arizona State,1534.138209962988
2021,East Carolina,1531.3922081660223
2021,Miami,1521.2517531939154
2021,Middle Tennessee,1515.7260962758137
2021,Oregon State,1515.1830380613242
2021,Tennessee,1511.130098092282
2021,Kansas State,1509.9461431652733
2021,Northern Illinois,1509.4977117432813
2021,Marshall,1509.076988348278
2021,Texas Tech,1505.2196257262117
2021,Louisville,1500.0354779134163
2021,Wyoming,1498.393176210069
2021,South Carolina,1494.138399669913
2021,Old Dominion,1490.9112200584868
2021,North Texas,1488.9609373880685
2021,Mississippi State,1487.8460543283331
2021,Maryland,1485.7365174233728
2021,West Virginia,1485.149428441459
2021,Hawai'i,1485.02712560057
2021,California,1484.9183091142536
2021,Florida State,1481.2884042546118
2021,Memphis,1480.3183664235476
2021,North Carolina,1480.0450613670794
2021,LSU,1476.496324059015
2021,UTEP,1471.0454318106842
2021,Auburn,1466.5002623430719
2021,Texas,1466.4239759114373
2021,Illinois,1465.0389700652145
2021,Navy,1459.7588985710975
2021,Florida,1456.6941412858685
2021,Ball State,1456.6573097383425
2021,Boston College,1456.1453888891897
2021,Eastern Michigan,1453.3606288324756
2021,Kent State,1452.3880987822793
2021,Troy,1449.422791752588
2021,Texas State,1440.2786216194627
2021,Nebraska,1436.9508152762826
2021,Washington,1436.899981427021
2021,South Alabama,1432.4842363677299
2021,Florida Atlantic,1431.1900516725227
2021,Virginia,1430.7045359874066
2021,Missouri,1424.1530968840834
2021,Virginia Tech,1423.237363834779
2021,UL Monroe,1417.6797769813504
2021,TCU,1417.6148766512265
2021,Syracuse,1415.765031730171
2021,Ohio,1414.4851259975926
2021,Colorado State,1404.1051373816756
2021,Bowling Green,1402.5116208379404
2021,USC,1400.6073652518605
2021,Colorado,1397.220754711277
2021,Georgia Southern,1391.6274727710052
2021,UNLV,1389.4000423156992
2021,San Jose State,1386.300771398437
2021,Georgia Tech,1385.9392991616785
2021,Stanford,1375.9530464776656
2021,Louisiana Tech,1370.848630250572
2021,Buffalo,1370.8350579931216
2021,Rutgers,1370.2999788478144
2021,Charlotte,1368.9269626248538
2021,Rice,1368.0047565813113
2021,Southern Miss,1364.2352386134346
2021,Northwestern,1362.5408227368098
2021,Tulane,1362.2021070055666
2021,South Florida,1356.6829088728787
2021,Arkansas State,1352.3409975282655
2021,New Mexico State,1349.4792290872583
2021,Arizona,1335.3430376398128
2021,New Mexico,1334.933370228402
2021,Indiana,1321.0432855291344
2021,Vanderbilt,1314.0095494471589
2021,Massachusetts,1313.9590861152044
2021,Temple,1313.0676714660187
2021,Duke,1311.6559781592757
2021,Akron,1306.2320002075637
2021,Kansas,1301.4510234256118
2021,Uconn,1292.0611140286908
2021,Florida International,1234.9204006411965
2022,Georgia,1765.8661634065086
2022,Michigan,1736.4855375567458
2022,Alabama,1703.8986906404907
2022,Troy,1684.1638569325505
2022,Ohio State,1677.6618199013676
2022,TCU,1673.9187583942871
2022,Penn State,1670.561973592744
2022,Tulane,1663.4071441285007
2022,Tennessee,1659.6103107706504
2022,Fresno State,1656.1739890547362
2022,Clemson,1655.836202684867
2022,UTSA,1647.968016753929
2022,Notre Dame,1645.2065497667868
2022,Utah,1643.0457060336025
2022,Louisville,1640.5971269567053
2022,Air Force,1638.774356288015
2022,Washington,1637.7413068029207
2022,Oregon,1632.615106140975
2022,Florida State,1628.8897905665171
2022,Kansas State,1627.8820888503303
2022,USC,1626.1487977311497
2022,Oregon State,1605.215091033328
2022,Duke,1605.0115806049512
2022,Texas,1603.6978538682179
2022,Boise State,1602.5159933272853
2022,Ohio,1598.4855436452428
2022,LSU,1596.9376103744542
2022,Minnesota,1595.0379155379276
2022,South Alabama,1593.0546620062992
2022,Western Kentucky,1585.8797511210782
2022,Iowa,1584.4867925520039
2022,Pittsburgh,1582.830211607678
2022,Cincinnati,1578.9323087607318
2022,James Madison,1569.7695428736808
2022,UCF,1560.0214570548085
2022,Toledo,1559.9935820817343
2022,Texas Tech,1559.0795424161574
2022,UCLA,1558.8160519589596
2022,Houston,1553.8598296045923
2022,Illinois,1552.0749176583759
2022,Mississippi State,1551.7023647035114
2022,East Carolina,1551.451990682327
2022,Memphis,1549.1060222579563
2022,Marshall,1541.6516274942753
2022,Arkansas,1539.7068506298829
2022,Wake Forest,1539.0409372865358
2022,Maryland,1537.9201527076307
2022,Buffalo,1535.3247848207413
2022,UAB,1534.755270893633
2022,SMU,1531.601764090269
2022,Middle Tennessee,1531.4999619437285
2022,Eastern Michigan,1531.019954801591
2022,North Carolina,1526.9069030275436
2022,San Jose State,1522.3417915939274
2022,NC State,1519.6355130235543
2022,Purdue,1515.4747954643435
2022,South Carolina,1514.3275089079941
2022,Liberty,1513.7120561800607
2022,Georgia State,1511.0861305073593
2022,Oklahoma,1509.525423514516
2022,San Diego State,1508.83991095031
2022,Southern Miss,1507.1165012330257
2022,Wisconsin,1505.9545502723436
2022,Army,1504.3161334913127
2022,New Mexico State,1500.0526944315166
2022,Ole Miss,1496.7853357047113
2022,Kentucky,1494.8780935472591
2022,Washington State,1494.09939678693
2022,Louisiana,1493.330813756024
2022,BYU,1492.979967828768
2022,Wyoming,1492.5216998289416
2022,North Texas,1489.5299134214217
2022,Coastal Carolina,1487.3651930536662
2022,Kent State,1487.0077984407899
2022,Baylor,1486.5350120049834
2022,Texas A&M,1478.5500070866624
2022,Florida,1461.5894872647668
2022,UTEP,1459.9985819782391
2022,Bowling Green,1458.4144817218762
2022,Uconn,1456.2920139412588
2022,Utah State,1456.0117907997708
2022,Ball State,1454.6811818303868
2022,Auburn,1454.446787483602
2022,Oklahoma State,1450.8583472524074
2022,Miami (OH),1450.0004174666994
2022,Navy,1449.4879035049116
2022,Florida Atlantic,1444.7397123798723
2022,Kansas,1444.5474415251051
2022,Missouri,1443.7575534747157
2022,Syracuse,1441.615186149002
2022,Michigan State,1441.4217839027547
2022,Nebraska,1439.8266220582723
2022,Tulsa,1438.9460939941616
2022,Iowa State,1434.1140547996504
2022,West Virginia,1430.9738280133672
2022,Georgia Southern,1430.9535395391022
2022,Central Michigan,1427.3308003751295
2022,Western Michigan,1423.1151202232463
2022,Colorado State,1417.4279989728066
2022,Miami,1413.8321173483087
2022,UNLV,1410.2008156490394
2022,Arizona,1409.1320779943094
2022,Georgia Tech,1408.9944699911678
2022,Indiana,1399.4848488592568
2022,Rice,1391.9033838844273
2022,Virginia Tech,1391.4862073912473
2022,California,1390.703730239363
2022,Vanderbilt,1388.0763785411398
2022,Temple,1387.03986240171
2022,UL Monroe,1384.147069647614
2022,Virginia,1381.6625655717646
