season,Team,Elo
2024,Notre Dame,1763.533076767717
2024,Ohio State,1746.3394625975025
2024,Oregon,1714.6024096884844
2024,Penn State,1710.2589480633346
2024,Texas,1687.269837958738
2024,Ole Miss,1676.1946629735098
2024,Ohio,1672.0491268115236
2024,Arizona State,1660.4032990850708
2024,BYU,1656.7229418740144
2024,Army,1654.7642613386122
2024,Indiana,1649.44435758965
2024,Marshall,1648.7148950219537
2024,Boise State,1647.4093503342087
2024,Clemson,1644.9216447214742
2024,SMU,1639.5689647783443
2024,Jacksonville State,1635.0136006826708
2024,Georgia,1634.472155425526
2024,Memphis,1633.887391746614
2024,South Carolina,1631.405616824292
2024,Miami,1624.434335284675
2024,UNLV,1621.1837866821322
2024,Miami (OH),1621.0897531897115
2024,Syracuse,1617.9124366022008
2024,Navy,1616.6816749177349
2024,Tennessee,1616.5266820619966
