"week","season","Team","opponent","code","date","win_loss","OT","OT_num","pass","rush","rec","points_allowed","points_scored","point_differential","home_game","CONF","SOR","FPI","SOS","GC","AVGWP","AP_rank","opponent_rank","rank_change","ranked_opponent"
10,2021,"Auburn","Texas A&M",2,"Sat, Nov 6",0,0,0,153,69,50,20,3,-17,0,"SEC",48,20,4,29,58,12,13,-9,TRUE
10,2021,"Texas A&M","Auburn",245,"Sat, Nov 6",1,0,0,192,112,77,3,20,17,1,"SEC",29,14,52,30,28,13,12,-4,TRUE
10,2022,"Alabama","LSU",333,"Sat, Nov 5",0,1,1,328,99,97,32,31,-1,0,"SEC",4,2,9,3,4,6,15,0,TRUE
10,2022,"Georgia","Tennessee",61,"Sat, Nov 5",1,0,0,257,52,94,13,27,14,1,"SEC",1,1,8,1,1,1,2,0,TRUE
10,2022,"LSU","Alabama",99,"Sat, Nov 5",1,1,1,182,95,51,31,32,1,1,"SEC",8,10,2,27,58,15,6,-11,TRUE
10,2022,"NC State","NC State",154,"Sat, Nov 5",0,0,0,397,29,159,30,21,-9,0,"ACC",33,39,53,32,40,21,21,-2,TRUE
10,2022,"Tennessee","Georgia",2633,"Sat, Nov 5",0,0,0,195,69,68,27,13,-14,0,"SEC",5,5,7,4,8,2,1,-1,TRUE
10,2022,"UCF","Tulane",2116,"Sat, Nov 12",1,0,0,132,176,54,31,38,7,0,"American",45,37,72,49,44,25,19,-1,TRUE
10,2022,"Wake Forest","NC State",154,"Sat, Nov 5",0,0,0,397,29,159,30,21,-9,0,"ACC",35,32,58,26,28,20,21,10,TRUE
10,2023,"Alabama","LSU",333,"Sat, Nov 4",1,0,0,219,155,60,28,42,14,1,"SEC",4,6,2,7,15,8,13,0,TRUE
10,2023,"Georgia","Missouri",61,"Sat, Nov 4",1,0,0,254,77,95,21,30,9,1,"SEC",3,2,23,2,3,1,14,0,TRUE
10,2023,"LSU","Alabama",99,"Sat, Nov 4",0,0,0,219,163,171,42,28,-14,0,"SEC",11,10,17,16,28,13,8,-6,TRUE
10,2023,"Missouri","Georgia",142,"Sat, Nov 4",0,0,0,212,112,90,30,21,-9,0,"SEC",8,14,9,8,12,14,1,-6,TRUE
10,2023,"Texas","Kansas State",251,"Sat, Nov 4",1,1,1,248,112,149,30,33,3,1,"Big 12",9,7,12,4,5,7,25,0,TRUE
10,2023,"Washington","USC",264,"Sat, Nov 4",1,0,0,256,256,82,42,52,10,0,"Pac-12",2,12,1,3,8,5,24,0,TRUE
10,2024,"Ohio State","Penn State",194,"Sat, Nov 2",1,0,0,182,95,55,13,20,7,0,"Big Ten",1,1,2,1,1,4,3,0,TRUE
10,2024,"Penn State","Ohio State",213,"Sat, Nov 2",0,0,0,146,47,54,20,13,-7,1,"Big Ten",6,6,10,8,13,3,4,0,TRUE
11,2021,"Baylor","Oklahoma",239,"Sat, Nov 13",1,0,0,117,148,41,14,27,13,1,"Big 12",7,15,25,6,7,18,4,4,TRUE
11,2021,"Michigan","Penn State",130,"Sat, Nov 13",1,0,0,217,156,64,17,21,4,0,"Big Ten",3,4,5,3,4,9,23,0,TRUE
11,2021,"NC State","NC State",154,"Sat, Nov 13",1,0,0,290,56,73,42,45,3,1,"ACC",23,16,63,26,30,21,21,-5,TRUE
11,2021,"Oklahoma","Baylor",201,"Sat, Nov 13",0,0,0,142,55,53,27,14,-13,0,"Big 12",9,5,40,16,20,4,18,0,TRUE
11,2021,"Ole Miss","Texas A&M",145,"Sat, Nov 13",1,0,0,247,152,69,19,29,10,1,"SEC",12,18,19,8,16,12,11,-3,TRUE
11,2021,"Penn State","Michigan",213,"Sat, Nov 13",0,0,0,205,88,92,21,17,-4,1,"Big Ten",37,17,10,14,33,23,9,1,TRUE
11,2021,"Texas A&M","Ole Miss",245,"Sat, Nov 13",0,0,0,237,110,77,29,19,-10,0,"SEC",29,14,52,30,28,11,12,-2,TRUE
11,2021,"Wake Forest","NC State",154,"Sat, Nov 13",1,0,0,290,56,73,42,45,3,1,"ACC",15,22,45,11,13,13,21,3,TRUE
11,2022,"Alabama","Ole Miss",333,"Sat, Nov 12",1,0,0,209,84,61,24,30,6,0,"SEC",4,2,9,3,4,10,11,4,TRUE
11,2022,"NC State","North Carolina",154,"Sat, Nov 12",0,0,0,320,81,106,36,34,-2,1,"ACC",33,39,53,32,40,17,15,-4,TRUE
11,2022,"Ole Miss","Alabama",145,"Sat, Nov 12",0,0,0,212,135,123,30,24,-6,1,"SEC",28,18,36,20,31,11,10,-1,TRUE
