season,game_date,Team,opponent,Result,point_differential,Team_Elo_Rating
2021,2021-01-01,Arkansas,Penn State,W,14,1543.3288032176354
2021,2021-01-01,Kentucky,Iowa,W,3,1522.1807097779183
2021,2021-01-01,Notre Dame,Oklahoma State,L,-2,1482.4222033813103
2021,2021-01-01,Ohio State,Utah,W,3,1522.1807097779183
2021,2021-01-01,Ole Miss,Baylor,L,-14,1456.6711967823646
2021,2021-01-01,Penn State,Arkansas,L,-14,1426.8658898828678
2021,2021-01-04,Kansas State,LSU,W,22,1581.0435718373858
2021,2021-01-04,LSU,Kansas State,L,-22,1452.0
2021,2021-01-10,Alabama,Georgia,L,-15,1425.4129155230196
2021,2021-01-10,Georgia,Alabama,W,15,1544.3614195558364
2021,2021-09-04,Fresno State,Oregon,L,-7,1466.7289353331225
2021,2021-09-04,Illinois,UTSA,L,-7,1466.7289353331225
2021,2021-09-04,New Mexico State,San Diego State,L,-18,1452.888976333337
2021,2021-09-04,San Jose State,USC,L,-23,1452.0
2021,2021-09-04,UCLA,LSU,W,11,1528.0643869054345
2021,2021-09-10,Boise State,UTEP,W,41,1548.0
2021,2021-09-10,Coastal Carolina,Kansas,W,27,1548.0
2021,2021-09-10,Kansas,Coastal Carolina,L,-27,1416.9353601650223
2021,2021-09-10,UTEP,Boise State,L,-41,1416.9353601650223
2021,2021-09-11,Air Force,Navy,W,20,1548.0
2021,2021-09-11,Akron,Temple,L,-21,1419.4248854164484
2021,2021-09-11,Arizona,San Diego State,L,-24,1458.4690295932044
2021,2021-09-11,Arizona State,UNLV,W,27,1548.0
2021,2021-09-11,Arkansas,Texas,W,19,1633.3313513449484
2021,2021-09-11,Arkansas State,Memphis,L,-5,1471.3318484923511
2021,2021-09-11,Army,Western Kentucky,W,3,1540.615321507478
2021,2021-09-11,BYU,Utah,W,9,1558.6596976366966
2021,2021-09-11,Ball State,Penn State,L,-31,1442.0427813057315
2021,2021-09-11,Boston College,Massachusetts,W,17,1577.2090748135427
2021,2021-09-11,Bowling Green,South Alabama,L,-3,1477.8192902220817
2021,2021-09-11,Buffalo,Nebraska,L,-25,1417.6643770987318
2021,2021-09-11,California,TCU,L,-2,1467.2241425363607
