season,Team,Elo
2020,Alabama,1796.240086610197
2020,Alabama Crimson Tide,1761.3375436720428
2020,BYU,1744.4399511599254
2020,Clemson,1733.551509485499
2020,BYU Cougars,1718.4230057837094
2020,Oklahoma,1703.4036665667443
2020,Clemson Tigers,1696.712747819641
2020,Cincinnati,1692.397134114862
2020,Notre Dame,1688.6108499730306
2020,Coastal Carolina Chanticleers,1687.8067482203599
2020,Coastal Carolina,1686.4289934201295
2020,Oklahoma Sooners,1685.4097404990482
2020,Cincinnati Bearcats,1684.2891139029987
2020,Texas A&M,1678.8848160584332
2020,Ohio State,1675.117912405628
2020,Ball State,1664.7231948352994
2020,Liberty Flames,1663.9726086594374
2020,Louisiana,1657.5206780258675
2020,Texas,1655.848741564272
2020,Texas A&M Aggies,1653.814935556312
2020,Notre Dame Fighting Irish,1651.6242625301843
2020,Georgia,1649.570513615994
2020,Louisiana Ragin' Cajuns,1648.064032954965
2020,San José State,1646.6294731590983
2020,Iowa State,1644.6112507685632
2020,Buffalo,1644.1474467832757
2020,Liberty,1642.9003446110198
2020,Appalachian State,1641.58012992654
2020,Ball State Cardinals,1640.4905609675673
2020,Iowa,1640.3825871425931
2020,Ohio State Buckeyes,1639.3306871322407
2020,North Carolina Tar Heels,1628.8894691592754
2020,North Carolina,1626.9781488084675
2020,Georgia Bulldogs,1621.4614409817784
2020,Nevada,1620.8583203092353
2020,Iowa Hawkeyes,1618.9492597125472
2020,Texas Longhorns,1618.7460331291093
2020,Indiana,1618.3226097063935
2020,Georgia Southern,1615.2570961978683
2020,Buffalo Bulls,1614.6190106610006
2020,San José State Spartans,1614.4782228779125
2020,Florida,1612.1558922422016
2020,Iowa State Cyclones,1610.4988356266927
2020,Northwestern,1596.8835140730598
2020,UCF,1596.648509456863
2020,Indiana Hoosiers,1595.9618786481506
2020,Boise State,1594.0203027752166
2020,Wisconsin,1592.1977794025054
2020,Tulsa,1591.8472069473871
2020,Nevada Wolf Pack,1588.3378285963604
2020,Oklahoma State,1585.5274478681342
2020,UAB,1580.548890479556
2020,Georgia State,1580.2428884057517
2020,USC,1580.1986943531986
2020,Army Black Knights,1576.26572633388
2020,Florida Gators,1575.9628763333071
2020,TCU,1572.925610028452
2020,Tulsa Golden Hurricane,1570.191265855461
2020,Toledo,1569.8320621533671
2020,Miami,1569.642316030139
2020,Northwestern Wildcats,1567.9102367418918
2020,Boise State Broncos,1567.4983820694297
2020,UAB Blazers,1566.745305407239
2020,UCF Knights,1565.4747409370564
2020,USC Trojans,1565.2917160320171
2020,NC State,1564.6897991439023
2020,Georgia Southern Eagles,1562.793845439477
2020,Memphis,1561.983852473257
2020,Army,1559.744973883302
2020,Oklahoma State Cowboys,1557.3518193822458
2020,Memphis Tigers,1555.8658229918499
