season,week,Team,Elo_pregame
2021,2,Air Force,1500.0
2021,3,Air Force,1537.8023605254648
2021,4,Air Force,1516.3826234914984
2021,5,Air Force,1547.2000409748166
2021,6,Air Force,1579.9293217301445
2021,7,Air Force,1600.0512133508955
2021,8,Air Force,1625.2445664319139
2021,10,Air Force,1600.5302302212983
2021,11,Air Force,1560.7177728491051
2021,12,Air Force,1588.4570147735797
2021,13,Air Force,1606.4392898146505
2021,14,Air Force,1619.8329077385881
2021,2,Akron,1500.0
2021,4,Akron,1461.6200229718972
2021,5,Akron,1431.251583359537
2021,6,Akron,1395.8734252038996
2021,7,Akron,1435.6078577086025
2021,8,Akron,1415.8211884472228
2021,9,Akron,1370.7472315645086
2021,10,Akron,1354.196905674536
2021,11,Akron,1344.6732345263506
2021,12,Akron,1314.3558282739327
2021,3,Alabama,1500.0
2021,4,Alabama,1514.6491302752647
2021,5,Alabama,1543.894451041044
2021,6,Alabama,1570.7817276986843
2021,7,Alabama,1555.0650373064145
2021,8,Alabama,1597.6885532210308
2021,10,Alabama,1618.2697578661118
2021,11,Alabama,1628.2098400994353
2021,12,Alabama,1635.4990690495874
2021,13,Alabama,1656.7915873617553
2021,14,Alabama,1667.4643372062249
2021,15,Alabama,1704.871979506014
2021,16,Alabama,1744.029476832145
2021,2,Arizona,1500.0
2021,4,Arizona,1462.6736675310092
2021,6,Arizona,1442.6327118170086
2021,7,Arizona,1410.0649654180588
2021,8,Arizona,1357.4186805091133
2021,9,Arizona,1341.9092948428772
2021,10,Arizona,1363.708830090054
2021,11,Arizona,1391.3596270332544
2021,12,Arizona,1379.5275054774181
2021,13,Arizona,1361.9477569734686
2021,2,Arizona State,1500.0
2021,3,Arizona State,1530.1461175644756
2021,4,Arizona State,1507.6842154057604
2021,5,Arizona State,1529.725761189654
2021,6,Arizona State,1565.4857464989857
2021,7,Arizona State,1620.9533231785028
2021,9,Arizona State,1588.593050721383
2021,10,Arizona State,1550.632633201278
2021,11,Arizona State,1570.3435500883625
2021,12,Arizona State,1587.8399624581436
2021,13,Arizona State,1557.192372743762
2021,14,Arizona State,1569.2118299738581
2021,2,Arkansas,1500.0
2021,3,Arkansas,1527.1020872321862
2021,4,Arkansas,1552.7337983347272
2021,5,Arkansas,1578.890954430441
2021,6,Arkansas,1549.1621904400738
2021,7,Arkansas,1541.8544742724864
2021,10,Arkansas,1504.6173983374717
2021,11,Arkansas,1519.1423604000038
2021,12,Arkansas,1540.240310320097
2021,13,Arkansas,1528.0623377509526
2021,14,Arkansas,1547.2077309074327
2021,2,Arkansas State,1500.0
2021,3,Arkansas State,1477.752590491229
2021,4,Arkansas State,1441.5937737595889
2021,5,Arkansas State,1423.7171898152935
2021,6,Arkansas State,1393.6285668902426
2021,7,Arkansas State,1372.0693499574704
2021,8,Arkansas State,1368.6199089926663
2021,9,Arkansas State,1364.3148592964505
2021,11,Arkansas State,1348.6408394872474
2021,12,Arkansas State,1369.2962640525054
2021,13,Arkansas State,1360.8586834034415
2021,2,Army,1500.0
2021,4,Army,1512.5416650333664
2021,5,Army,1562.0005071514918
2021,7,Army,1527.852644956929
2021,8,Army,1510.1405633480786
2021,10,Army,1466.4399815795518
2021,12,Army,1506.252438951745
2021,13,Army,1520.0373079130854
2021,14,Army,1554.5513758803966
2021,3,Auburn,1500.0
2021,4,Auburn,1482.4076014292384
2021,5,Auburn,1504.8440590454195
2021,6,Auburn,1528.086230074591
2021,7,Auburn,1498.60762389708
2021,9,Auburn,1535.8446998320946
2021,10,Auburn,1560.2830909323957
2021,11,Auburn,1535.2927129959728
2021,12,Auburn,1506.4457862183708
2021,13,Auburn,1489.4937458032925
2021,14,Auburn,1478.820995958823
2021,2,BYU,1500.0
2021,3,BYU,1520.831254715503
2021,4,BYU,1543.2931568742183
2021,5,BYU,1557.4977630826695
2021,6,BYU,1585.4988955096094
2021,7,BYU,1555.3877386892866
2021,8,BYU,1530.8533217329652
2021,9,BYU,1543.9805046695296
2021,12,BYU,1569.070117229206
2021,13,BYU,1589.7754973875442
2021,14,BYU,1601.0206980126807
2021,2,Ball State,1500.0
2021,3,Ball State,1468.645837416584
2021,4,Ball State,1443.256463819827
2021,5,Ball State,1414.0008731201021
2021,6,Ball State,1448.148735314665
2021,7,Ball State,1496.6896332706956
2021,8,Ball State,1523.7042266021833
2021,9,Ball State,1496.840927729546
2021,10,Ball State,1513.3912536195185
2021,11,Ball State,1506.6220813075386
2021,12,Ball State,1471.8610581763185
2021,13,Ball State,1489.2885638474868
2021,3,Baylor,1500.0
2021,4,Baylor,1542.6947495457011
2021,5,Baylor,1551.7182006623648
2021,6,Baylor,1529.7440045296794
2021,7,Baylor,1555.009704681719
2021,9,Baylor,1579.5441216380405
2021,10,Baylor,1594.0354052628077
2021,11,Baylor,1578.981087675329
2021,12,Baylor,1609.0484199507544
2021,13,Baylor,1634.0014236360223
2021,14,Baylor,1640.0597544133946
2021,2,Boise State,1500.0
2021,3,Boise State,1533.8143194350382
2021,4,Boise State,1556.625474505958
2021,5,Boise State,1593.7144847343284
2021,6,Boise State,1557.8523822505326
2021,7,Boise State,1587.9635390708554
2021,9,Boise State,1562.770185989837
2021,10,Boise State,1590.3420084427157
2021,11,Boise State,1631.9931783305349
2021,12,Boise State,1679.4376739854272
2021,13,Boise State,1686.1506819779454
2021,2,Boston College,1500.0
2021,3,Boston College,1535.8883461953774
2021,4,Boston College,1576.5419245111484
2021,5,Boston College,1593.6642270894267
2021,7,Boston College,1569.8415835955354
2021,8,Boston College,1531.9933557513666
2021,9,Boston College,1505.4567802126253
2021,10,Boston College,1474.2373763035164
2021,11,Boston College,1497.9855772146427
2021,12,Boston College,1524.9582584437208
2021,13,Boston College,1505.582801650916
2021,2,Bowling Green,1500.0
2021,4,Bowling Green,1482.7870543556712
2021,5,Bowling Green,1505.4272301682051
2021,6,Bowling Green,1482.6305512497804
2021,7,Bowling Green,1442.8961187450775
2021,8,Bowling Green,1426.0533765641683
